"o","branch","gap"
0,"H included under majority",-0.45
0.001,"H included under majority",-0.449595
0.002,"H included under majority",-0.44919
0.003,"H included under majority",-0.448785
0.004,"H included under majority",-0.44838
0.005,"H included under majority",-0.447975
0.006,"H included under majority",-0.44757
0.007,"H included under majority",-0.447165
0.008,"H included under majority",-0.44676
0.009,"H included under majority",-0.446355
0.01,"H included under majority",-0.44595
0.011,"H included under majority",-0.445545
0.012,"H included under majority",-0.44514
0.013,"H included under majority",-0.444735
0.014,"H included under majority",-0.44433
0.015,"H included under majority",-0.443925
0.016,"H included under majority",-0.44352
0.017,"H included under majority",-0.443115
0.018,"H included under majority",-0.44271
0.019,"H included under majority",-0.442305
0.02,"H included under majority",-0.4419
0.021,"H included under majority",-0.441495
0.022,"H included under majority",-0.44109
0.023,"H included under majority",-0.440685
0.024,"H included under majority",-0.44028
0.025,"H included under majority",-0.439875
0.026,"H included under majority",-0.43947
0.027,"H included under majority",-0.439065
0.028,"H included under majority",-0.43866
0.029,"H included under majority",-0.438255
0.03,"H included under majority",-0.43785
0.031,"H included under majority",-0.437445
0.032,"H included under majority",-0.43704
0.033,"H included under majority",-0.436635
0.034,"H included under majority",-0.43623
0.035,"H included under majority",-0.435825
0.036,"H included under majority",-0.43542
0.037,"H included under majority",-0.435015
0.038,"H included under majority",-0.43461
0.039,"H included under majority",-0.434205
0.04,"H included under majority",-0.4338
0.041,"H included under majority",-0.433395
0.042,"H included under majority",-0.43299
0.043,"H included under majority",-0.432585
0.044,"H included under majority",-0.43218
0.045,"H included under majority",-0.431775
0.046,"H included under majority",-0.43137
0.047,"H included under majority",-0.430965
0.048,"H included under majority",-0.43056
0.049,"H included under majority",-0.430155
0.05,"H included under majority",-0.42975
0.051,"H included under majority",-0.429345
0.052,"H included under majority",-0.42894
0.053,"H included under majority",-0.428535
0.054,"H included under majority",-0.42813
0.055,"H included under majority",-0.427725
0.056,"H included under majority",-0.42732
0.057,"H included under majority",-0.426915
0.058,"H included under majority",-0.42651
0.059,"H included under majority",-0.426105
0.06,"H included under majority",-0.4257
0.061,"H included under majority",-0.425295
0.062,"H included under majority",-0.42489
0.063,"H included under majority",-0.424485
0.064,"H included under majority",-0.42408
0.065,"H included under majority",-0.423675
0.066,"H included under majority",-0.42327
0.067,"H included under majority",-0.422865
0.068,"H included under majority",-0.42246
0.069,"H included under majority",-0.422055
0.07,"H included under majority",-0.42165
0.071,"H included under majority",-0.421245
0.072,"H included under majority",-0.42084
0.073,"H included under majority",-0.420435
0.074,"H included under majority",-0.42003
0.075,"H included under majority",-0.419625
0.076,"H included under majority",-0.41922
0.077,"H included under majority",-0.418815
0.078,"H included under majority",-0.41841
0.079,"H included under majority",-0.418005
0.08,"H included under majority",-0.4176
0.081,"H included under majority",-0.417195
0.082,"H included under majority",-0.41679
0.083,"H included under majority",-0.416385
0.084,"H included under majority",-0.41598
0.085,"H included under majority",-0.415575
0.086,"H included under majority",-0.41517
0.087,"H included under majority",-0.414765
0.088,"H included under majority",-0.41436
0.089,"H included under majority",-0.413955
0.09,"H included under majority",-0.41355
0.091,"H included under majority",-0.413145
0.092,"H included under majority",-0.41274
0.093,"H included under majority",-0.412335
0.094,"H included under majority",-0.41193
0.095,"H included under majority",-0.411525
0.096,"H included under majority",-0.41112
0.097,"H included under majority",-0.410715
0.098,"H included under majority",-0.41031
0.099,"H included under majority",-0.409905
0.1,"H included under majority",-0.4095
0.101,"H included under majority",-0.409095
0.102,"H included under majority",-0.40869
0.103,"H included under majority",-0.408285
0.104,"H included under majority",-0.40788
0.105,"H included under majority",-0.407475
0.106,"H included under majority",-0.40707
0.107,"H included under majority",-0.406665
0.108,"H included under majority",-0.40626
0.109,"H included under majority",-0.405855
0.11,"H included under majority",-0.40545
0.111,"H included under majority",-0.405045
0.112,"H included under majority",-0.40464
0.113,"H included under majority",-0.404235
0.114,"H included under majority",-0.40383
0.115,"H included under majority",-0.403425
0.116,"H included under majority",-0.40302
0.117,"H included under majority",-0.402615
0.118,"H included under majority",-0.40221
0.119,"H included under majority",-0.401805
0.12,"H included under majority",-0.4014
0.121,"H included under majority",-0.400995
0.122,"H included under majority",-0.40059
0.123,"H included under majority",-0.400185
0.124,"H included under majority",-0.39978
0.125,"H included under majority",-0.399375
0.126,"H included under majority",-0.39897
0.127,"H included under majority",-0.398565
0.128,"H included under majority",-0.39816
0.129,"H included under majority",-0.397755
0.13,"H included under majority",-0.39735
0.131,"H included under majority",-0.396945
0.132,"H included under majority",-0.39654
0.133,"H included under majority",-0.396135
0.134,"H included under majority",-0.39573
0.135,"H included under majority",-0.395325
0.136,"H included under majority",-0.39492
0.137,"H included under majority",-0.394515
0.138,"H included under majority",-0.39411
0.139,"H included under majority",-0.393705
0.14,"H included under majority",-0.3933
0.141,"H included under majority",-0.392895
0.142,"H included under majority",-0.39249
0.143,"H included under majority",-0.392085
0.144,"H included under majority",-0.39168
0.145,"H included under majority",-0.391275
0.146,"H included under majority",-0.39087
0.147,"H included under majority",-0.390465
0.148,"H included under majority",-0.39006
0.149,"H included under majority",-0.389655
0.15,"H included under majority",-0.38925
0.151,"H included under majority",-0.388845
0.152,"H included under majority",-0.38844
0.153,"H included under majority",-0.388035
0.154,"H included under majority",-0.38763
0.155,"H included under majority",-0.387225
0.156,"H included under majority",-0.38682
0.157,"H included under majority",-0.386415
0.158,"H included under majority",-0.38601
0.159,"H included under majority",-0.385605
0.16,"H included under majority",-0.3852
0.161,"H included under majority",-0.384795
0.162,"H included under majority",-0.38439
0.163,"H included under majority",-0.383985
0.164,"H included under majority",-0.38358
0.165,"H included under majority",-0.383175
0.166,"H included under majority",-0.38277
0.167,"H included under majority",-0.382365
0.168,"H included under majority",-0.38196
0.169,"H included under majority",-0.381555
0.17,"H included under majority",-0.38115
0.171,"H included under majority",-0.380745
0.172,"H included under majority",-0.38034
0.173,"H included under majority",-0.379935
0.174,"H included under majority",-0.37953
0.175,"H included under majority",-0.379125
0.176,"H included under majority",-0.37872
0.177,"H included under majority",-0.378315
0.178,"H included under majority",-0.37791
0.179,"H included under majority",-0.377505
0.18,"H included under majority",-0.3771
0.181,"H included under majority",-0.376695
0.182,"H included under majority",-0.37629
0.183,"H included under majority",-0.375885
0.184,"H included under majority",-0.37548
0.185,"H included under majority",-0.375075
0.186,"H included under majority",-0.37467
0.187,"H included under majority",-0.374265
0.188,"H included under majority",-0.37386
0.189,"H included under majority",-0.373455
0.19,"H included under majority",-0.37305
0.191,"H included under majority",-0.372645
0.192,"H included under majority",-0.37224
0.193,"H included under majority",-0.371835
0.194,"H included under majority",-0.37143
0.195,"H included under majority",-0.371025
0.196,"H included under majority",-0.37062
0.197,"H included under majority",-0.370215
0.198,"H included under majority",-0.36981
0.199,"H included under majority",-0.369405
0.2,"H included under majority",-0.369
0.201,"H included under majority",-0.368595
0.202,"H included under majority",-0.36819
