"type","rule","information","payoff","x","record_type"
"Low type","Majority","Public",0.09,0.9,"public_private_payoff"
"High type","Majority","Public",0.35,0.9,"public_private_payoff"
"Low type","Majority","Private",0.1,1.1,"public_private_payoff"
"High type","Majority","Private",0.35,1.1,"public_private_payoff"
"Low type","Unanimity","Public",0.09,1.9,"public_private_payoff"
"High type","Unanimity","Public",0.315,1.9,"public_private_payoff"
"Low type","Unanimity","Private",0.315,2.1,"public_private_payoff"
"High type","Unanimity","Private",0.315,2.1,"public_private_payoff"
"Low type",,"RI_M",0.01,,"informational_rent"
"High type",,"RI_M",0,,"informational_rent"
"Low type",,"RI_U",0.225,,"informational_rent"
"High type",,"RI_U",0,,"informational_rent"
"Low type",,"DeltaRI",0.215,,"informational_rent"
"High type",,"DeltaRI",0,,"informational_rent"
