"exemplo","regra","tipo","papel","probabilidade","payoff_condicional","observacao","contribuicao"
"Benchmark p,"Maioria","o = 0.10","Proponente",0.25,0.685,"Maioria inclui H",0.17125
"Benchmark p,"Maioria","o = 0.10","Inclu,0.25,0.225,"Parceiro fraco na coaliz,0.05625
"Benchmark p,"Maioria","o = 0.10","Exclu,0.5,0,"Fora da coaliz,0
"Benchmark p,"Unanimidade","o = 0.10","Proponente",0.25,0.3025,"Proponente fraco compra H e todos os fracos",0.075625
"Benchmark p,"Unanimidade","o = 0.10","Inclu,0.75,0.2025,"Todo n,0.151875
"Benchmark p,"Unanimidade","o = 0.10","Exclu,0,0,"N,0
"Benchmark p,"Maioria","o = 0.35","Proponente",0.25,0.55,"Maioria exclui H",0.1375
"Benchmark p,"Maioria","o = 0.35","Inclu,0.5,0.225,"Parceiro fraco na coaliz,0.1125
"Benchmark p,"Maioria","o = 0.35","Exclu,0.25,0,"Fora da coaliz,0
"Benchmark p,"Unanimidade","o = 0.35","Proponente",0.25,0.24625,"Proponente fraco compra H e todos os fracos",0.0615625
"Benchmark p,"Unanimidade","o = 0.35","Inclu,0.75,0.14625,"Todo n,0.1096875
"Benchmark p,"Unanimidade","o = 0.35","Exclu,0,0,"N,0
"Privado: p = 0.115","Maioria - screening","H baixo","Proponente",0.25,0.775,"Acordo imediato",0.19375
"Privado: p = 0.115","Maioria - screening","H baixo","Inclu,0.25,0.1875,"Parceiro pago",0.046875
"Privado: p = 0.115","Maioria - screening","H baixo","Exclu,0.5,0,"Fora da coaliz,0
"Privado: p = 0.115","Maioria - screening","H alto","Continua,1,0.1875,"A proposta falha; novo reconhecimento uniforme no Round 2",0.1875
"Privado: p = 0.115","Unanimidade - pooling","H baixo","Proponente",0.25,0.409375,"Paga o limiar alto",0.10234375
"Privado: p = 0.115","Unanimidade - pooling","H baixo","Inclu,0.75,0.159375,"Todo n,0.11953125
"Privado: p = 0.115","Unanimidade - pooling","H baixo","Exclu,0,0,"N,0
"Privado: p = 0.115","Unanimidade - pooling","H alto","Proponente",0.25,0.409375,"Paga o limiar alto",0.10234375
"Privado: p = 0.115","Unanimidade - pooling","H alto","Inclu,0.75,0.159375,"Todo n,0.11953125
"Privado: p = 0.115","Unanimidade - pooling","H alto","Exclu,0,0,"N,0
"Agenda p,"Maioria","o = 0.10","Inclu,0.5,0.20475,"H compra k fracos",0.102375
"Agenda p,"Maioria","o = 0.10","Exclu,0.5,0,"Fora da coaliz,0
"Agenda p,"Unanimidade","o = 0.10","Inclu,1,0.20475,"H compra todos os fracos",0.20475
"Agenda p,"Unanimidade","o = 0.10","Exclu,0,0,"N,0
"Agenda p,"Maioria","o = 0.35","Inclu,0.5,0.225,"H compra k fracos",0.1125
"Agenda p,"Maioria","o = 0.35","Exclu,0.5,0,"Fora da coaliz,0
"Agenda p,"Unanimidade","o = 0.35","Inclu,1,0.154125,"H compra todos os fracos",0.154125
"Agenda p,"Unanimidade","o = 0.35","Exclu,0,0,"N,0
"Agenda p,"Maioria","o = 0.80","Proponente na continua,0.25,0.495,"H induz atraso; payoff trazido para a data A",0.12375
"Agenda p,"Maioria","o = 0.80","Inclu,0.5,0.2025,"H induz atraso; payoff trazido para a data A",0.10125
"Agenda p,"Maioria","o = 0.80","Fora na continua,0.25,0,"H induz atraso; payoff zero",0
"Agenda p,"Unanimidade","o = 0.80","Inclu,1,0.063,"H compra todos os fracos",0.063
"Agenda p,"Unanimidade","o = 0.80","Exclu,0,0,"N,0
"Agenda privada: propostas can,"Maioria - continua,"Passagem","Inclu,0.5,0.225,"Pre,0.1125
"Agenda privada: propostas can,"Maioria - continua,"Passagem","Exclu,0.5,0,"Fora da coaliz,0
"Agenda privada: propostas can,"Maioria - continua,"Passagem","Inclu,0.5,0.154125,"Pre,0.0770625
"Agenda privada: propostas can,"Maioria - continua,"Passagem","Exclu,0.5,0,"Fora da coaliz,0
"Agenda privada: propostas can,"Unanimidade - posterior zero","Passagem","Inclu,1,0.20475,"Representante can,0.20475
"Agenda privada: propostas can,"Unanimidade - posterior alto","Passagem","Inclu,1,0.154125,"Representante can,0.154125
