"m","beta","ell","high","prior","proposals","direct_max","formula_max"
3,0.2,0.05,0.15,0,160,0.923333333333333,0.923333333333333
3,0.2,0.05,0.15,0.01,160,0.914766666666667,0.914766666666667
3,0.2,0.05,0.15,0.3,160,0.903333333333333,0.903333333333333
3,0.2,0.05,0.15,0.8,160,0.903333333333333,0.903333333333333
3,0.2,0.05,0.15,1,160,0.903333333333333,0.903333333333333
3,0.2,0.05,0.15,0.066147859922179,160,0.903333333333333,0.903333333333333
3,0.2,0.05,0.15,0.0233463035019455,160,0.903333333333333,0.903333333333333
3,0.2,0.1,0.333333333333333,0,160,0.913333333333333,0.913333333333333
3,0.2,0.1,0.333333333333333,0.01,160,0.904866666666667,0.904866666666667
3,0.2,0.1,0.333333333333333,0.3,160,0.866666666666667,0.866666666666667
3,0.2,0.1,0.333333333333333,0.8,160,0.866666666666667,0.866666666666667
3,0.2,0.1,0.333333333333333,1,160,0.866666666666667,0.866666666666667
3,0.2,0.1,0.333333333333333,0.0551181102362205,160,0.866666666666667,0.866666666666667
3,0.2,0.1,0.333333333333333,0.0551181102362205,160,0.866666666666667,0.866666666666667
3,0.2,0.333333333333333,0.7,0,160,0.866666666666667,0.866666666666667
3,0.2,0.333333333333333,0.7,0.01,160,0.866666666666667,0.866666666666667
3,0.2,0.333333333333333,0.7,0.3,160,0.866666666666667,0.866666666666667
3,0.2,0.333333333333333,0.7,0.8,160,0.866666666666667,0.866666666666667
3,0.2,0.333333333333333,0.7,1,160,0.866666666666667,0.866666666666667
3,0.2,0.1,0.7,0,160,0.913333333333333,0.913333333333333
3,0.2,0.1,0.7,0.01,160,0.904866666666667,0.904866666666667
3,0.2,0.1,0.7,0.3,160,0.866666666666667,0.866666666666667
3,0.2,0.1,0.7,0.8,160,0.866666666666667,0.866666666666667
3,0.2,0.1,0.7,1,160,0.866666666666667,0.866666666666667
3,0.2,0.1,0.7,0.0551181102362205,160,0.866666666666667,0.866666666666667
3,0.2,0.5,0.8,0,160,0.866666666666667,0.866666666666667
3,0.2,0.5,0.8,0.01,160,0.866666666666667,0.866666666666667
