"beta","o0","o1","mu","L","U","V","signature","y","x","weak_yes","proposer_payoff","H_payoff","max_grid_deviation","analytic_offpath_envelope","check"
0.2,0,0.55,0,1,1,1,"separating_no",0,0,FALSE,1,0,0.93125,1,"PASS"
0.5,0,0.55,0,1,1,1,"separating_no",0,0,FALSE,1,0,0.93125,1,"PASS"
1,0,0.55,0,1,1,1,"separating_no",0,0,FALSE,1,0,0.93125,1,"PASS"
0.2,0.2,0.55,0,0.8,0.9,0.9,"A",0,0.1,TRUE,0.9,0.2,0.9,0.9,"PASS"
0.5,0.2,0.55,0,0.8,0.8,0.8,"C",0.2,0,FALSE,0.8,0.2,0.79375,0.8,"PASS"
1,0.2,0.55,0,0.8,0.8,0.8,"C",0.2,0,FALSE,0.8,0.2,0.79375,0.8,"PASS"
0.2,0,0.9,0,1,1,1,"separating_no",0,0,FALSE,1,0,0.9,1,"PASS"
0.5,0,0.9,0,1,1,1,"separating_no",0,0,FALSE,1,0,0.8875,1,"PASS"
1,0,0.9,0,1,1,1,"separating_no",0,0,FALSE,1,0,0.8875,1,"PASS"
0.2,0.2,0.9,0,0.8,0.9,0.9,"A",0,0.1,TRUE,0.9,0.2,0.9,0.9,"PASS"
0.5,0.2,0.9,0,0.8,0.8,0.8,"C",0.2,0,FALSE,0.8,0.2,0.775,0.8,"PASS"
1,0.2,0.9,0,0.8,0.8,0.8,"C",0.2,0,FALSE,0.8,0.2,0.775,0.8,"PASS"
0.2,0,0.55,0.25,0.775,0.9,0.775,"separating_yes",0,0.225,TRUE,0.775,0.1375,0.775,0.775,"PASS"
0.2,0,0.55,0.25,0.775,0.9,0.816666666666667,"separating_yes",0,0.183333333333333,TRUE,0.816666666666667,0.1375,0.775,0.775,"PASS"
0.2,0,0.55,0.25,0.775,0.9,0.858333333333333,"separating_yes",0,0.141666666666667,TRUE,0.858333333333333,0.1375,0.775,0.775,"PASS"
0.2,0,0.55,0.25,0.775,0.9,0.9,"separating_yes",0,0.1,TRUE,0.9,0.1375,0.775,0.775,"PASS"
0.5,0,0.55,0.25,0.8125,0.8125,0.8125,"separating_no",0,0,FALSE,0.8125,0.1375,0.7609375,0.8125,"PASS"
1,0,0.55,0.25,0.875,0.875,0.875,"separating_no",0,0,FALSE,0.875,0.1375,0.8234375,0.875,"PASS"
0.2,0.2,0.55,0.25,0.625,0.9,0.9,"A",0,0.1,TRUE,0.9,0.2875,0.9,0.9,"PASS"
0.5,0.2,0.55,0.25,0.6625,0.75,0.75,"A",0,0.25,TRUE,0.75,0.2875,0.75,0.75,"PASS"
1,0.2,0.55,0.25,0.725,0.725,0.725,"C",0.2,0,FALSE,0.725,0.2875,0.7203125,0.725,"PASS"
0.2,0,0.9,0.25,0.775,0.9,0.775,"separating_yes",0,0.225,TRUE,0.775,0.225,0.775,0.775,"PASS"
0.2,0,0.9,0.25,0.775,0.9,0.816666666666667,"separating_yes",0,0.183333333333333,TRUE,0.816666666666667,0.225,0.775,0.775,"PASS"
0.2,0,0.9,0.25,0.775,0.9,0.858333333333333,"separating_yes",0,0.141666666666667,TRUE,0.858333333333333,0.225,0.775,0.775,"PASS"
0.2,0,0.9,0.25,0.775,0.9,0.9,"separating_yes",0,0.1,TRUE,0.9,0.225,0.775,0.775,"PASS"
0.5,0,0.9,0.25,0.8125,0.8125,0.8125,"separating_no",0,0,FALSE,0.8125,0.225,0.728125,0.8125,"PASS"
1,0,0.9,0.25,0.875,0.875,0.875,"separating_no",0,0,FALSE,0.875,0.225,0.790625,0.875,"PASS"
0.2,0.2,0.9,0.25,0.625,0.9,0.9,"A",0,0.1,TRUE,0.9,0.375,0.9,0.9,"PASS"
0.5,0.2,0.9,0.25,0.6625,0.75,0.75,"A",0,0.25,TRUE,0.75,0.375,0.75,0.75,"PASS"
1,0.2,0.9,0.25,0.725,0.725,0.725,"C",0.2,0,FALSE,0.725,0.375,0.70625,0.725,"PASS"
0.2,0,0.55,0.9,0.45,0.9,0.45,"separating_yes",0,0.55,TRUE,0.45,0.495,0.45,0.45,"PASS"
0.2,0,0.55,0.9,0.45,0.9,0.6,"separating_yes",0,0.4,TRUE,0.6,0.495,0.45,0.45,"PASS"
0.2,0,0.55,0.9,0.45,0.9,0.75,"separating_yes",0,0.25,TRUE,0.75,0.495,0.45,0.45,"PASS"
0.2,0,0.55,0.9,0.45,0.9,0.9,"separating_yes",0,0.1,TRUE,0.9,0.495,0.45,0.45,"PASS"
0.5,0,0.55,0.9,0.45,0.75,0.45,"separating_yes",0,0.55,TRUE,0.45,0.495,0.45,0.45,"PASS"
0.5,0,0.55,0.9,0.45,0.75,0.55,"separating_yes",0,0.45,TRUE,0.55,0.495,0.45,0.45,"PASS"
0.5,0,0.55,0.9,0.45,0.75,0.65,"separating_yes",0,0.35,TRUE,0.65,0.495,0.45,0.45,"PASS"
0.5,0,0.55,0.9,0.45,0.75,0.75,"separating_yes",0,0.25,TRUE,0.75,0.495,0.45,0.45,"PASS"
1,0,0.55,0.9,0.55,0.55,0.55,"separating_no",0,0,FALSE,0.55,0.495,0.543125,0.55,"PASS"
0.2,0.2,0.55,0.9,0.45,0.9,0.9,"A",0,0.1,TRUE,0.9,0.515,0.9,0.9,"PASS"
0.5,0.2,0.55,0.9,0.45,0.75,0.75,"A",0,0.25,TRUE,0.75,0.515,0.75,0.75,"PASS"
1,0.2,0.55,0.9,0.53,0.53,0.53,"C",0.2,0,FALSE,0.53,0.515,0.529375,0.53,"PASS"
0.2,0,0.9,0.9,0.19,0.9,0.19,"separating_yes",0,0.81,TRUE,0.19,0.81,0.19,0.19,"PASS"
0.2,0,0.9,0.9,0.19,0.9,0.426666666666667,"separating_yes",0,0.573333333333333,TRUE,0.426666666666667,0.81,0.19,0.19,"PASS"
