"check_id","pass","detail","checked_on","source"
"M_min_support_0001",TRUE,"enumerated=0.90000000; E=0.90000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0001",TRUE,"feasible=TRUE; enumerated=0.86500000; B=0.86500000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0001",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.70000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0001",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_N3_TY_0001",TRUE,"value=0.90000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0001",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0001",TRUE,"limit=0.61450000; K=0.76950000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0002",TRUE,"enumerated=0.86666667; E=0.86666667","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0002",TRUE,"feasible=TRUE; enumerated=0.80166667; B=0.80166667","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0002",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.63333333","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0002",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0002",TRUE,"exists=TRUE; E=0.86666667; B=0.80166667; C=0.63333333; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0002",TRUE,"E-C=0.23333333; o1-c=0.23333333","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_prior_cutoff_0002",TRUE,"cutoff=0.02040816; mu=0.10000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0002",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0002",TRUE,"limit=0.58600000; K=0.74100000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
